
RegionName,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31
"Nashville, TN",306107.0,302173.0,301508.0,306267.0,310133.0,310800.0,315800.0,321633.0,324267.0,325967.0,324967.0,325667.0,322333.0,325167.0,331167.0,341167.0,352667.0,365000.0,376633.0,383300.0,
"Providence, RI",290650.0,285617.0,291633.0,298283.0,308317.0,310650.0,315667.0,324000.0,330750.0,334083.0,332383.0,330300.0,326967.0,321333.0,322333.0,327333.0,339667.0,353333.0,362967.0,372967.0,
"Milwaukee, WI",194333.0,192167.0,197833.0,207767.0,215433.0,220417.0,222150.0,228983.0,229000.0,227333.0,221667.0,218667.0,214633.0,212783.0,214783.0,221150.0,228000.0,237333.0,241667.0,239333.0,
"Jacksonville, FL",252660.0,254327.0,254993.0,257997.0,260660.0,262330.0,267663.0,270833.0,273167.0,272967.0,273800.0,275852.0,274052.0,274052.0,277333.0,288153.0,298153.0,306063.0,310543.0,312210.0,
"Memphis, TN",184333.0,184167.0,186167.0,196167.0,203000.0,209333.0,212083.0,216417.0,219750.0,221000.0,220917.0,217583.0,210167.0,204250.0,206917.0,214333.0,226333.0,237000.0,244500.0,247500.0,
"Oklahoma City, OK",186967.0,187000.0,188333.0,193333.0,195667.0,199333.0,202667.0,208667.0,209000.0,209667.0,209000.0,208333.0,206000.0,205000.0,208333.0,213333.0,216667.0,220000.0,223333.0,223333.0,
"Louisville-Jefferson County, KY",189333.0,189800.0,189800.0,194967.0,198833.0,205500.0,213833.0,220000.0,220750.0,217417.0,216417.0,212333.0,210633.0,206633.0,209967.0,212750.0,220750.0,227417.0,234667.0,236667.0,
"Hartford, CT",224407.0,221074.0,223333.0,228767.0,237100.0,241100.0,245667.0,252333.0,256500.0,257817.0,256150.0,256483.0,255167.0,251833.0,250000.0,253333.0,261667.0,272333.0,279833.0,286483.0,
"Richmond, VA",262678.0,258372.0,256527.0,263518.0,272808.0,275475.0,279483.0,280590.0,284358.0,286000.0,287118.0,288683.0,283692.0,285313.0,285647.0,295347.0,298683.0,306433.0,310208.0,316875.0,
"New Orleans, LA",219667.0,216300.0,213300.0,215300.0,219333.0,225000.0,227333.0,231000.0,229333.0,229333.0,230000.0,231667.0,230000.0,228000.0,229667.0,235830.0,240163.0,245163.0,247333.0,250000.0,
"Buffalo, NY",161633.0,159967.0,158667.0,162667.0,171000.0,174000.0,178667.0,182355.0,189022.0,190355.0,188333.0,186667.0,183333.0,179083.0,176083.0,179167.0,189583.0,199417.0,209667.0,217167.0,
"Raleigh, NC",300667.0,299333.0,301333.0,306167.0,308833.0,308917.0,308917.0,312917.0,315833.0,317000.0,315956.0,316290.0,315020.0,316398.0,322229.0,334828.0,346162.0,359997.0,368333.0,375000.0,
"Birmingham, AL",205887.0,205870.0,212520.0,222396.0,227413.0,225763.0,225000.0,224967.0,228967.0,228967.0,230633.0,224967.0,222967.0,221967.0,226990.0,235657.0,245113.0,250089.0,251756.0,250000.0,
"Salt Lake City, UT",342250.0,345250.0,350917.0,357083.0,358317.0,361900.0,367233.0,374583.0,379333.0,382500.0,384833.0,389833.0,391667.0,401667.0,412667.0,429906.0,443240.0,457240.0,469000.0,475667.0,
"Rochester, NY",153367.0,150400.0,152083.0,156333.0,162333.0,164000.0,166667.0,171833.0,175167.0,175817.0,174160.0,173976.0,168993.0,164817.0,161667.0,168333.0,178317.0,189983.0,194967.0,198317.0,
"Grand Rapids, MI",205667.0,209000.0,215817.0,222150.0,223817.0,224500.0,230333.0,233667.0,237000.0,235750.0,235417.0,232417.0,227650.0,228817.0,234817.0,248833.0,258667.0,266397.0,268364.0,269364.0,
"Tucson, AZ",227376.0,232043.0,233276.0,237233.0,237233.0,238000.0,242333.0,247333.0,251667.0,255000.0,258333.0,259133.0,261725.0,265058.0,274158.0,279900.0,289400.0,297833.0,303783.0,307217.0,
"Urban Honolulu, HI",579917.0,588183.0,601183.0,616183.0,619667.0,612000.0,607000.0,610333.0,616817.0,615817.0,612483.0,619000.0,630000.0,638833.0,622000.0,615333.0,621000.0,639500.0,655083.0,665583.0,
"Tulsa, OK",176567.0,180983.0,182083.0,184083.0,186000.0,189167.0,194983.0,199317.0,204150.0,203833.0,202833.0,202167.0,199750.0,200583.0,201917.0,207833.0,212000.0,217333.0,220000.0,223333.0,
"Fresno, CA",292583.0,293167.0,293500.0,296500.0,298167.0,305167.0,312083.0,315417.0,316000.0,317917.0,321250.0,323917.0,322250.0,327667.0,331417.0,338083.0,342667.0,348417.0,353750.0,357750.0,
"Worcester, MA",280833.0,275000.0,275667.0,282333.0,297333.0,303333.0,313667.0,318667.0,325333.0,323333.0,323633.0,321967.0,323633.0,315000.0,316667.0,320000.0,338333.0,353333.0,361667.0,365000.0,
"Stamford, CT",395000.0,389333.0,387500.0,389333.0,411333.0,442517.0,461517.0,486683.0,493000.0,499000.0,483167.0,481667.0,474167.0,480567.0,473900.0,485067.0,505333.0,540333.0,561667.0,556433.0,
"Albuquerque, NM",218217.0,220383.0,223817.0,228000.0,228300.0,229633.0,235300.0,244133.0,247800.0,249600.0,248229.0,250551.0,249751.0,253989.0,257767.0,266089.0,271089.0,279989.0,285000.0,288333.0,
"Albany, NY",199750.0,200383.0,198967.0,201467.0,208500.0,211167.0,212383.0,213050.0,220050.0,224500.0,223500.0,222167.0,218583.0,216233.0,215150.0,217233.0,223917.0,230717.0,239066.0,243920.0,
"Omaha, NE",191667.0,193333.0,196667.0,205000.0,210000.0,219000.0,222833.0,226167.0,224167.0,222000.0,222000.0,221667.0,220150.0,221817.0,228817.0,238667.0,245333.0,250333.0,252333.0,252333.0,
"New Haven, CT",219500.0,212833.0,211500.0,217000.0,230333.0,238333.0,248333.0,251667.0,258333.0,258000.0,261333.0,258667.0,254000.0,249000.0,250000.0,255500.0,268833.0,280500.0,290667.0,290667.0,
"Bakersfield, CA",249167.0,249150.0,249983.0,255817.0,257500.0,261667.0,263333.0,267333.0,269000.0,272833.0,275833.0,277500.0,278667.0,275500.0,281500.0,283833.0,293333.0,295667.0,303333.0,306417.0,
"Knoxville, TN",214883.0,212579.0,215745.0,221946.0,226250.0,227417.0,231667.0,235000.0,238300.0,238300.0,238300.0,237733.0,236733.0,235650.0,237917.0,242250.0,248333.0,255000.0,263333.0,271667.0,
"Greenville, SC",206619.0,206350.0,211383.0,219917.0,226383.0,227383.0,228882.0,231332.0,232998.0,235833.0,235667.0,237667.0,235433.0,233767.0,233100.0,236894.0,244477.0,252144.0,257583.0,261333.0,
"Ventura, CA",601500.0,602167.0,607000.0,608167.0,611167.0,621083.0,631417.0,648417.0,666833.0,676333.0,685667.0,679000.0,684667.0,681417.0,691417.0,710083.0,729583.0,754583.0,756333.0,765833.0,
"Allentown, PA",195333.0,195000.0,199167.0,209167.0,215833.0,220000.0,223417.0,228083.0,229717.0,233800.0,235767.0,236633.0,232467.0,227500.0,226667.0,228333.0,235000.0,245000.0,257000.0,262000.0,
"El Paso, TX",167717.0,166617.0,166633.0,166650.0,168000.0,170000.0,174983.0,179317.0,182892.0,183242.0,182208.0,180950.0,181433.0,183133.0,183483.0,185333.0,188667.0,192833.0,198167.0,201500.0,
"Baton Rouge, LA",212053.0,210887.0,211013.0,215047.0,217197.0,217617.0,217950.0,221967.0,223667.0,226633.0,229267.0,228600.0,226337.0,223704.0,225704.0,229667.0,233000.0,236167.0,237833.0,241133.0,
"Dayton, OH",138550.0,137117.0,141500.0,150833.0,156500.0,158983.0,162317.0,166650.0,166833.0,165167.0,160167.0,160000.0,159083.0,156826.0,154909.0,158159.0,166417.0,173333.0,177667.0,178333.0,
"McAllen, TX",154498.0,156482.0,157648.0,160317.0,163000.0,165167.0,168667.0,170000.0,171833.0,169333.0,171583.0,174917.0,178917.0,178000.0,177167.0,180500.0,182483.0,186733.0,191567.0,192583.0,
"Columbia, SC",183048.0,181888.0,181140.0,187139.0,191299.0,195966.0,199633.0,201650.0,202967.0,202865.0,203215.0,201898.0,201833.0,200833.0,204167.0,211470.0,218136.0,225205.0,223736.0,227069.0,
"Greensboro, NC",161333.0,164000.0,169000.0,174333.0,175000.0,177333.0,182750.0,187750.0,188167.0,186083.0,185750.0,186667.0,185667.0,182036.0,183369.0,189369.0,186667.0,180667.0,169000.0,168333.0,
"Akron, OH",150467.0,148300.0,150967.0,157000.0,161667.0,162333.0,165925.0,167758.0,171058.0,172300.0,172433.0,165383.0,156217.0,149583.0,150000.0,156667.0,163333.0,170667.0,175667.0,178667.0,
"North Port-Sarasota-Bradenton, FL",287233.0,284397.0,280464.0,284064.0,287900.0,288833.0,293081.0,296748.0,299748.0,299667.0,303583.0,311250.0,314583.0,318332.0,326332.0,334665.0,343667.0,350000.0,361667.0,366663.0,
"Little Rock, AR",168147.0,165287.0,169620.0,176307.0,180000.0,181000.0,181833.0,186000.0,187750.0,187750.0,187750.0,188333.0,186000.0,183375.0,183058.0,190392.0,197017.0,202333.0,204333.0,205333.0,
"Stockton, CA",417833.0,425083.0,426750.0,433083.0,435333.0,443000.0,445417.0,447833.0,446833.0,448083.0,451250.0,452917.0,454583.0,457000.0,468167.0,482667.0,493667.0,504167.0,504667.0,506667.0,
"Charleston, SC",283929.0,290262.0,291888.0,293717.0,292050.0,291783.0,297700.0,308533.0,318046.0,320546.0,320424.0,324291.0,323274.0,325753.0,331840.0,342013.0,353490.0,357657.0,357667.0,354033.0,
"Syracuse, NY",147333.0,147333.0,144867.0,147450.0,150783.0,156083.0,158833.0,165167.0,168000.0,169667.0,166333.0,163333.0,160150.0,155150.0,153757.0,158607.0,164982.0,169708.0,173108.0,179145.0,
"Colorado Springs, CO",330733.0,335233.0,342917.0,349027.0,352527.0,352527.0,360000.0,368333.0,375333.0,377000.0,379333.0,378333.0,377333.0,382667.0,392317.0,404983.0,416983.0,432333.0,444000.0,446333.0,
"Winston-Salem, NC",176000.0,172833.0,171167.0,181000.0,185333.0,190333.0,195333.0,199500.0,202833.0,200833.0,201167.0,199500.0,195000.0,192833.0,192833.0,195667.0,190000.0,181667.0,172667.0,168333.0,
"Wichita, KS",150883.0,148550.0,150633.0,162833.0,167833.0,171667.0,173542.0,176042.0,179208.0,176667.0,174583.0,175250.0,173750.0,174833.0,174133.0,177883.0,193550.0,204333.0,215583.0,214083.0,
"Springfield, MA",223167.0,219167.0,218000.0,222167.0,231133.0,235633.0,239967.0,243333.0,248300.0,250300.0,248967.0,249000.0,247000.0,244667.0,244067.0,247400.0,256400.0,267000.0,275333.0,279667.0,
"Fort Myers, FL",238220.0,239033.0,242367.0,244967.0,246000.0,241000.0,241000.0,244974.0,249974.0,252358.0,254550.0,257883.0,258500.0,251315.0,245315.0,245648.0,252333.0,260000.0,261152.0,264485.0,
"Boise City, ID",312333.0,314300.0,321967.0,323633.0,326898.0,331562.0,339895.0,351663.0,361633.0,369933.0,375503.0,382701.0,391068.0,402165.0,418315.0,434978.0,451645.0,463330.0,472333.0,477333.0,
"Toledo, OH",127333.0,126833.0,127733.0,133067.0,138067.0,139383.0,142217.0,138883.0,142317.0,140650.0,143317.0,144167.0,145500.0,141133.0,140717.0,141383.0,145417.0,147000.0,151667.0,157667.0,
"Madison, WI",270000.0,269500.0,272167.0,282633.0,288382.0,297349.0,294716.0,296633.0,294833.0,295833.0,296833.0,297000.0,297000.0,292333.0,302333.0,312333.0,327000.0,332000.0,338667.0,341000.0,
"Lakeland, FL",215997.0,214497.0,214432.0,214432.0,214098.0,214833.0,219000.0,222800.0,225467.0,226378.0,228412.0,231412.0,232333.0,233667.0,235667.0,239000.0,244333.0,250997.0,258313.0,264980.0,
"Ogden, UT",293667.0,295333.0,296788.0,305788.0,314121.0,319133.0,326133.0,331800.0,340667.0,339667.0,341083.0,341417.0,343833.0,342500.0,349833.0,365750.0,388333.0,405667.0,415833.0,420497.0,
"Daytona Beach, FL",227297.0,226633.0,227333.0,227333.0,228333.0,230167.0,236167.0,240783.0,243283.0,243950.0,246333.0,249000.0,251500.0,255100.0,259100.0,265930.0,269297.0,274297.0,279133.0,285800.0,
"Des Moines, IA",216681.0,210327.0,209250.0,214250.0,222583.0,226667.0,228500.0,234167.0,234167.0,236333.0,234000.0,237917.0,238190.0,236405.0,234155.0,237882.0,243000.0,249667.0,252878.0,259045.0,
"Provo, UT",332332.0,335000.0,336667.0,343333.0,341333.0,348000.0,350667.0,362667.0,366167.0,370167.0,373000.0,380065.0,386565.0,392065.0,399833.0,418333.0,435000.0,450208.0,456592.0,463258.0,
"Durham, NC",297333.0,293833.0,300667.0,306000.0,308167.0,303333.0,301333.0,308667.0,308417.0,310142.0,307808.0,310730.0,308005.0,303505.0,311333.0,326667.0,347500.0,361152.0,373486.0,377474.0,
"Fort Collins, CO",391500.0,394167.0,394216.0,395106.0,397439.0,400296.0,401141.0,409151.0,420412.0,429343.0,425500.0,415469.0,415036.0,421026.0,433057.0,435306.0,448134.0,454134.0,470985.0,476333.0,

